call_id,customer_id,abandoned,abandonment_reason,call_duration_before_abandonment_(mins)
a4680d07-1b80-408c-82de-68964e2f8813,b1510372-01dc-44f3-9666-1a3b4cf3b0ea,False,,
b3f4a0f9-983e-473d-9ce7-8b919bda3591,ca15420f-ffc8-428e-806d-33f00902cbec,False,,
5ea7c718-9399-4c8d-bc25-22c09eeda542,476621c7-8e1c-44c2-82e8-08d891ab9078,True,Answered by Wrong Department,8.0
5ba14dcb-f72d-46e5-8910-c5bbf61df13c,22bfe656-5d48-4273-b915-bf6f46f5e444,False,,
be3a8a3c-46cd-4586-92af-0bccba3b23fe,1f52f859-4d0f-4ee1-91b7-1748aeac2322,True,Long Wait Time,
8b597494-38b2-4fdf-8fd3-bb1c8c66d115,756406ca-f428-4579-becc-354df68b0679,True,Answered by Wrong Department,
65686bc4-1e3d-494d-993e-06a2ffbfaca9,bd94707f-cfc6-415f-9352-7f800e5e79c1,False,,
ac2cd642-d918-4e00-b27b-3046ddbc5ead,c2aacc7b-3d4b-4a2e-a0fc-123c823ed04d,False,,
387687da-baf3-4694-a5a9-7f55ce7c38a9,0d6a5e28-26f9-481b-a0ee-af179110a7bb,False,,
25dbda5a-d1ed-4c2b-80cc-37c51e8b4b0b,edf5b11f-7d74-451c-8d99-dab8edcad1e0,True,Not Interested,
30570e71-4d83-4301-81bf-9d6fe425c657,5cae5837-d001-4361-8d9a-4308e53ec164,False,,
67cacfa3-1021-46df-98f0-316f7179a01f,811bd001-1773-4f01-8f41-5f82c657f437,True,Long Wait Time,4.0
44a59171-f3ce-449d-acbc-b10dd18ce0bf,623d8fcc-bdbf-4ec9-9269-8dbbc6db8760,False,,
6144dfe2-dc61-4e4f-9b23-9e0c4a027247,b5ecab44-2c0a-4295-bf0e-51e52c14167d,True,Long Wait Time,9.0
262bb862-3ee0-44b4-a623-9d0b052e0b84,9c73375e-bf5b-4c2e-9467-12c9d5849bf5,True,Not Interested,
c2c4c18c-f259-4520-960e-2889bb039698,9c5f09bd-61e0-4050-a0f8-26ebf177e5c0,True,Not Interested,5.0
e9b2a691-5ac5-4f72-be3b-20ec3087a6ad,bf37c09c-0eda-4a81-b5bd-65399c9d59af,True,Not Interested,
