call_id,customer_id,agent_id,call_duration,call_type,issue
accc2764-24d5-47fa-8601-23ac1d7d89f0,b584550c-641c-44d0-b308-25381125d9b9,966d5b90-ed4b-47a1-b6b9-9bad9162d6fe,50,Inbound,Complaint
befb90c0-aac5-4c6c-89c4-14f57d2ac30b,1be4ea93-a4b3-46fd-9f9f-7c48b1b196d2,1be01460-850c-4608-9a30-49158364609e,67,Outbound,Complaint
b14d22ea-c0dd-40b3-8d18-9c82f3770b40,2320fd15-7b8d-4f1b-844e-d7716b6e8970,8acc0156-1faa-469b-ad22-98f6e92939b0,108,Outbound,Complaint
174f0491-3428-4d6e-b45a-7687c2811343,53fd6b84-3d16-4282-a4dc-2981250ea2de,b88dc33d-e1f8-4af4-8c9b-21a2d0eb3d06,83,Inbound,Technical Support
bcf0583e-a8e4-4ca6-8a69-b682d69ddd76,a2302e13-7a77-4091-81e5-701f959100ac,a897e3ca-28e4-4866-ac84-d753b0e14f6f,29,Inbound,Technical Support
1ee36d20-a6a3-4109-976d-a66602b1063c,91b2bf67-bea3-4d55-a59f-32fb8bd6079a,8ef2520f-905d-41b0-9b68-1666c7e5a6fd,33,Outbound,Billing Inquiry
62567b37-b9f3-4642-895d-fd933bcd934b,ba753ca5-46b3-4e13-b656-ffe14512b6e6,5b3ab495-8c6c-42d5-bcb4-36003e48ec24,72,Outbound,Billing Inquiry
53eb2925-f83c-473a-be3f-d3504e58d21f,b3a06617-a61c-43a5-b57c-8be0e4c09afe,bb1ee77a-b4ed-4470-a6bf-4c6d49817d7b,14,Outbound,Billing Inquiry
e73f8efa-a852-4ddf-8f4f-a3072f76b735,33c81d40-0ac9-494d-81d6-1f9c58ae21b5,a69f0b18-bfc9-49cf-a51a-1c3c530782ef,22,Inbound,Technical Support
459bd105-d377-4924-b7c1-a93f8833c611,0803083f-69b4-44a9-acc9-90cc7f3bbc99,a8c40727-659f-48b8-9bb5-ba600f9be256,21,Outbound,Complaint
9565157b-c615-4d37-b688-b8e3fd02f759,52329a68-148a-4d3d-be71-2d61b79fa0aa,1ba0eae9-0e23-4430-a31e-39dd61631c7a,69,Inbound,Billing Inquiry
f7d16e4d-76b8-4790-a5ed-3884555a402d,2e1f72f9-e10b-4c0f-9c77-65116893c79b,d834c965-fd7f-4344-a43c-e0861706e485,78,Inbound,Technical Support
b9611f47-227c-4cef-b052-5f67880c166b,4457e06a-9e1c-4aa9-b60e-22f8cbfc204f,fc50701d-27f3-4f58-9374-8fba4bd55859,6,Inbound,Billing Inquiry
747f85dc-1441-43cd-b7a0-b1612dd25a69,33e3f77c-cce9-448a-ab76-0c938d50201c,1972ea3d-74cd-4268-8b28-1e6f236a3db4,89,Inbound,Complaint
ea413a31-03c0-4d22-8617-db1e66baee3e,5453328d-3e16-47cd-87cf-aa04e95dd541,3d337902-a266-4da9-a2f2-7ee961ea9200,53,Outbound,Billing Inquiry
64a119cc-29ef-4696-a11d-bd98ca7af920,f963e29d-2a59-42e3-aa63-8fbff9133162,a37c38c2-8efb-4b9c-b5a7-02cb97015424,117,Inbound,Billing Inquiry
827b3874-5286-434e-b22e-9d7ac9d7dfb1,dc7f3bd5-d819-4de8-97fa-0a3025660d6a,a5aafa27-55bc-469f-aa03-40802f98b717,12,Outbound,Complaint
58b46568-f558-4c61-a263-dc0bd638b2bc,1dbe76a0-62db-45d8-a722-164b3f26378d,b96b7bf9-e716-4fc1-b959-4c1a47f4e0ab,81,Outbound,Technical Support
f97e280e-5df0-42a5-ad62-25224a3561a9,f2f28c87-213e-42ed-ae2a-116e9907b301,0e09d2a7-c15c-429c-8e9b-bc6b0b3dd51b,55,Inbound,Billing Inquiry
a3f65054-c432-47fe-8b12-593f6f0c75a7,f8a25578-db64-42d7-9af6-6fffb8718016,a897e3ca-28e4-4866-ac84-d753b0e14f6f,61,Outbound,Billing Inquiry
