escalation_id,customer_id,agent_id,issue_type,escalation_reason,escalated_department,resolution_status
eb7ee6f4-641b-4a13-a9ab-46f75e9e319b,00b5f017-e262-4a76-ba5d-c65346d8800d,3d337902-a266-4da9-a2f2-7ee961ea9200,Billing Inquiry,Customer request,Specialist,Resolved
f7455727-fcc6-4a13-863c-a66649381351,469bae47-d30e-40f0-b19c-2f96cb37189f,1be01460-850c-4608-9a30-49158364609e,Technical Support,Customer request,Management,Pending
532c5105-87c0-4abc-a331-dac3570ffd06,4cb07d3b-83c9-48c7-be90-2251fd21cfdf,913010a2-ce37-4a94-a11c-59c186aad3d4,Technical Support,Policy issue,Support,Closed
1082529b-bed0-4287-90d6-e895e2e9d7e9,d579038e-293a-4482-b1d9-ff9bf6ec89e2,11ce60ed-7b22-420a-96a1-be0dac38c79a,Technical Support,Policy issue,Specialist,Pending
3fa6be7a-5f42-452e-9cbf-0030f0667912,9d16689e-60f1-4d40-b8c7-e804b6959112,8c308fe2-8137-477f-8e7e-815fb6564d1f,Complaint,Policy issue,Specialist,Pending
18c45828-de63-4fe0-80a3-3391df2e1b49,8aa8fa1f-140d-4208-ad1b-d32edfccd708,df9aea96-5032-4bde-9787-454f804230eb,Complaint,Policy issue,Support,Closed
c1570b65-0e46-43b5-a88f-f17158b40130,558a811b-60e2-43ef-b399-01fcbb412efa,5bc47cc5-3b52-4a3e-a17f-dc880231c2a7,Billing Inquiry,Agent not skilled,Support,Resolved
bb545b9a-0b3a-48d1-9f2f-58334c491ff0,0073e1bc-a5a4-4348-b3b3-5d4e5e92eb75,ecd62df6-1e01-4b5a-b11a-135569d15c60,Technical Support,Policy issue,Management,Resolved
6fb6e8d1-e53e-428f-9dc6-225d52d427d5,12987fd0-5024-4a1d-a8f4-8b109365cb3e,cfe538f5-f2bd-41b0-a7eb-e8127ebcd901,Technical Support,Agent not skilled,Support,Pending
ac62eec9-e9aa-4cd2-8bb4-f3862a6018e9,1f4d0daa-401f-48e3-b7ae-0bf2ca3578a4,5bc47cc5-3b52-4a3e-a17f-dc880231c2a7,Billing Inquiry,Customer request,Specialist,Pending
4fe84c32-2f5d-4e84-a544-3a93ebb9090c,59fd1f16-bccd-4e44-91e6-0f44447e7b4c,8fa4d531-1738-44e2-aea4-a901ee7a5e1b,Technical Support,Agent not skilled,Specialist,Pending
