Call ID,Customer ID,Abandoned,Abandonment Reason,Call Duration Before Abandonment (mins)
6a46e92d-eea1-4b73-8280-e984be9062f2,67fceb4d-9979-458d-83d7-278bb72071a1,False,Not Interested,9.0
9f7701fa-e09c-492d-ad17-965d3f78d7cf,b0b60b98-c26b-4762-ab03-9cd12686a342,False,Not Interested,
dc2f1429-8426-4adc-b2f6-a8c71936ac06,44eeb102-aa03-4409-bc45-d5167b02108a,True,Answered by Wrong Department,8.0
c33d4e40-43ea-48b7-a993-0963f4c51cf5,be62532a-b9d7-49a4-9592-ef3e2dffa42b,False,Long Wait Time,
81b1bc42-ab35-4579-94c3-c5d732ef680a,f1bca76b-4a97-49ac-b51d-51ce2e861877,True,Long Wait Time,
6facd9b3-44ad-429e-a32f-3290f8544205,09ce4630-72f1-455e-ba3a-61a01b949ed3,True,Answered by Wrong Department,
83679ce6-3219-4291-b109-7f940176c007,13998d2a-89f4-4e22-9a19-ef3f8f20ab0a,False,Not Interested,6.0
3f9fb6df-7883-4b3f-a7e0-9fe7a48ac75b,8bc7c7c5-a3cb-45f7-b6fc-a31b0e8f2f44,False,Answered by Wrong Department,
39e11f36-0c69-481f-b9a4-e22715241efe,2c8a4311-70d0-4efe-a4e9-633b8843768e,False,Answered by Wrong Department,
4b8e659e-ef3b-40b8-b451-3d3a3bb3510e,a14b933b-f871-4268-9757-65a6e9f9c7d0,True,Not Interested,
03ee3b6e-d71a-4b0b-97bf-ca4a498de964,362180cb-1b24-4d4c-a434-b5b12c09fae9,False,Long Wait Time,1.0
f0fee78a-dc4f-49b8-80f2-1f0be87f2e2c,816577a2-ad0e-41cf-8ed4-ee60b9fb5d46,True,Long Wait Time,4.0
bc4de86d-55c3-4b1e-9da9-11ff95e12b6a,b8fe9dc6-2b2c-40c3-a918-a7e82fe90e19,False,Long Wait Time,8.0
4f18b655-64ce-4406-8983-4a7d75e0df39,4a38e95f-ef7b-4018-8f1c-73b45b46f3e9,True,Long Wait Time,9.0
35697152-c284-475d-b939-7650fb37cb37,1e64112c-c258-4e82-9506-65809ecb2ca6,True,Not Interested,
e63041f1-59d5-4c4c-baaf-5089326663fd,fa87d3d2-51c7-4767-96a8-fced8444f967,True,Not Interested,5.0
f76e1b5b-645e-4e48-8975-b6575ea08839,7fb7a4b5-1f03-44a5-92fe-4f3b9fc06ff9,True,Not Interested,
14d07b27-c35d-4c01-b873-ab80ec484ff0,a89e0c89-0dd7-4ee0-a171-1f6068b2c300,False,Answered by Wrong Department,
cca2db58-e0a0-4beb-b239-945184633d09,0c46a89d-0850-46cc-ad16-5db3485daf80,True,Answered by Wrong Department,
794dc627-192a-4084-9285-fb91c47a39d8,e993ba9a-74bf-4754-a48a-4bd35b1b9791,False,Long Wait Time,4.0
2c1510ea-141c-416c-b69e-4e7ade25e8dc,2cb9b1b7-a940-48c1-8fe3-cef4900d67fc,False,Not Interested,10.0
a3e4a4c6-454d-4b9c-8e1a-bd7231c0c8bf,8c1f2e7e-4c60-411d-bda6-dcdfe7e97be2,True,Long Wait Time,3.0
2dd23c17-fb99-4e82-a24e-9386b8cc6000,ec905d5d-071c-44c7-a13a-1cbc954ab6bd,True,Long Wait Time,
