Escalation ID,Customer ID,Agent ID,Issue Type,Escalation Reason,Escalated Department,Resolution Status
eb7ee6f4-641b-4a13-a9ab-46f75e9e319b,fd219147-0546-4e46-b97a-26de84690b9e,ebe8b5a4-caf3-46a0-a28f-09257af849f5,Billing Inquiry,Customer request,Specialist,Resolved
f7455727-fcc6-4a13-863c-a66649381351,d6d606cc-a60a-46fb-9ce9-98f6720384fc,1ed2f01a-7906-4b5a-935c-6e77f4629d18,Technical Support,Customer request,Management,Pending
532c5105-87c0-4abc-a331-dac3570ffd06,0073e1bc-a5a4-4348-b3b3-5d4e5e92eb75,11c275d9-0665-4d23-8db3-bab08b992b19,Technical Support,Policy issue,Support,Closed
1082529b-bed0-4287-90d6-e895e2e9d7e9,383338d7-c373-41d7-9e51-d5cad7a0a77e,4c92c7ea-2a5e-4254-bb4d-d9033d98b8ab,Technical Support,Policy issue,Specialist,Pending
3fa6be7a-5f42-452e-9cbf-0030f0667912,7ac86e03-e281-4e23-b5c3-bfd2a2017d38,e09ad210-5a3f-4eff-905e-2ad29b22febe,Complaint,Policy issue,Specialist,Pending
18c45828-de63-4fe0-80a3-3391df2e1b49,3aa210ba-fc6e-4215-929b-59f93b9d3072,c4d26ec8-7fab-4055-9100-fe5c0f0e9e9f,Complaint,Policy issue,Support,Closed
c1570b65-0e46-43b5-a88f-f17158b40130,d45fb512-08c8-40c2-8f27-c32d3194f02a,75514624-b1e1-4c80-aaf4-53fbfacf0c3d,Billing Inquiry,Agent not skilled,Support,Resolved
bb545b9a-0b3a-48d1-9f2f-58334c491ff0,9c530341-fbe5-4b7f-a9e8-f98e06c195d6,8bbb56e7-19e8-443f-8163-8c667940f6d8,Technical Support,Policy issue,Management,Resolved
6fb6e8d1-e53e-428f-9dc6-225d52d427d5,17607cc9-72ad-449a-80c9-69ba19e6a712,86836242-b347-4d3b-bed6-f8c8dff0b455,Technical Support,Agent not skilled,Support,Pending
ac62eec9-e9aa-4cd2-8bb4-f3862a6018e9,aa2e3e42-1180-401b-aee5-82e8baef6986,3014ca0c-435a-4fbd-bbf5-c533c07c8737,Billing Inquiry,Customer request,Specialist,Pending
4fe84c32-2f5d-4e84-a544-3a93ebb9090c,c1554450-0ebb-4d8f-b2a7-79b8bfc330dc,eb294c88-1fd8-4dc4-9b14-47ea014d6149,Technical Support,Agent not skilled,Specialist,Pending
52a2cdd7-c192-46cc-b2d4-ce95b443c316,98abd378-3ab7-458c-a0ad-1b6f335bb23e,de4be2b9-6f6a-43e8-aaec-3637e4138b17,Complaint,Policy issue,Support,Resolved
9714c20f-aecf-4a5e-a6a3-5aa4be14cf2a,b9d3a35c-d2aa-4dc8-a903-eed4ff0e09db,e827a286-b5de-4ee0-bbd3-c42ca3c1b8d1,Complaint,Customer request,Specialist,Resolved
dbc32abd-87df-49a7-801e-37723f150dc1,0b432039-e543-4c40-b530-95dbe3b4c0ff,0182dab3-bcb7-459e-a525-e85a1c9d237f,Technical Support,Policy issue,Specialist,Pending
cf2124bc-f1f8-4e46-befd-0b73f425948e,aba877f0-ad35-43c7-a1c4-fc5982347d35,6b8e007f-71a9-4143-a950-ce2ee416a3a7,Billing Inquiry,Customer request,Specialist,Resolved
2fdabdd7-381e-4dc0-ade4-e640e0d4635d,639af494-d337-4fc4-886a-95068ba978fa,8bf86940-5cbe-4d2b-835e-60834510f1e3,Technical Support,Agent not skilled,Support,Resolved
d120f73a-04ce-4a4b-85d3-03329edd1111,aef02c99-c1bf-44ee-b151-a7088f579c3f,0e18f42a-dc51-488e-adc7-26614e8264d9,Billing Inquiry,Policy issue,Specialist,Closed
aa1f893c-eae7-4ec1-91a7-dae392aa3d16,c4fd66ae-e409-425c-8635-dd4b8e6373ea,1921d759-2f70-481d-84e7-3c3a1bf3d334,Billing Inquiry,Agent not skilled,Specialist,Closed
36f38704-6402-43c7-aeaf-db5a28c41cae,e314f410-b5ef-48fb-b895-7ac9d6eb3f70,8449031e-fe21-4ff1-abd6-b6d2496267dc,Technical Support,Policy issue,Specialist,Resolved
d9cd7f87-b1ae-4d21-bac1-c30e0723cafd,405928e2-a78d-433f-a1c6-91613c0b75cc,cbf762e3-d99a-4008-abdf-037597ffaf63,Technical Support,Policy issue,Specialist,Closed
2da77829-5d6a-41c3-beb1-eafb1a382ae8,1502d606-5194-4586-b715-016b61cc299a,555a6248-ea75-4640-a4f8-de619f1db143,Technical Support,Customer request,Management,Closed
7ba6b1e3-52ba-4f6a-9db5-b7be9a58a597,0d56d04d-5250-43d8-8617-43ac2efba2db,39c4fe48-3657-452d-a58c-ab113cfc0e6f,Technical Support,Customer request,Support,Resolved
4c005e97-195c-4089-a450-6256e0e6d22b,e371c8c9-a57b-41fc-b3a3-9c0dcd44c769,1d6d4d73-314c-45b7-b985-e3bdc67540b4,Complaint,Customer request,Support,Pending
79e30384-99e3-4f5b-9614-d41ead436919,a326ae0d-7dbe-45aa-9960-baab675a9ca9,45eff790-5554-4939-b28a-f0191c3ed99e,Complaint,Policy issue,Management,Pending
12e6587a-0997-430d-a11f-cf061fac0a21,dd3e7b56-8fc8-43cd-8448-ccb52c8dd128,5f50787d-f8c0-4f6a-95ed-4c0288259a11,Billing Inquiry,Policy issue,Specialist,Resolved
f6470053-63f5-4754-8167-1a7196d69cb8,3d2ca4de-c9f4-43ef-8a28-8d4882ac0da1,f851102a-1a6c-451f-a2b7-d6913405055e,Billing Inquiry,Policy issue,Specialist,Resolved
5bae687c-1461-4341-889e-19643fa6f73c,a9af71be-20cd-4416-a0da-626506d15cba,389a67d5-dcdc-436a-b17e-6cc903112ae3,Billing Inquiry,Customer request,Management,Resolved
1aef3425-c27d-4912-8357-0f183c72e00b,901c6fc0-0315-480c-967c-a5b814f4ed85,fc980626-bbc5-474e-a17f-7d41b280daa0,Complaint,Agent not skilled,Support,Closed
9af2d12a-3bd7-4602-b0ca-ca1d964166ac,a893adea-dad5-4fe1-aa6c-19cbc08ef87e,3520eecb-c38e-4d1d-b945-7e31023db083,Technical Support,Policy issue,Management,Closed
394085f5-a479-4a13-909e-be4d1f20c9de,d458197f-58de-4ffb-8827-171df5c55526,aa9643ac-32b7-49a7-94b7-7f1dba1d02f9,Technical Support,Agent not skilled,Management,Closed
f4eb7faa-fc68-4268-9365-6fe3f0635ecd,1d838e08-56b1-47e5-a678-1271ba856839,8e1cd430-8d7e-4787-84c1-3fa405daa91b,Technical Support,Agent not skilled,Support,Resolved
ec08122f-27fa-4c95-978b-82157414f2f3,bc022b90-44c7-433d-b6d4-0848d1f01717,ab32edbd-1caa-432a-b685-c8e1f5e2ee06,Complaint,Customer request,Management,Resolved
